Track_ID | 등번호 | 유니폼 | 첫등장프레임
8671 | 37 | AWAY | frame_1791
8715 | 2 | AWAY | frame_1797
8748 | 1 | HOME | frame_1801
8752 | 23 | AWAY | frame_1801
8757 | 81 | HOME | frame_1802
8794 | 10 | AWAY | frame_1806
8795 | 7 | HOME | frame_1806
8853 | 5 | AWAY | frame_1813
8857 | 23 | HOME | frame_1813
8880 | 3 | AWAY | frame_1817
8923 | 9 | AWAY | frame_1821
8965 | 2 | AWAY | frame_1835
8967 | 2 | HOME | frame_1836
8972 | 2 | HOME | frame_1837
8999 | 1 | AWAY | frame_1847
9042 | 4 | HOME | frame_1901
9043 | 14 | HOME | frame_1901
9044 | 9 | HOME | frame_1903
9066 | 8 | AWAY | frame_1913
9078 | 41 | HOME | frame_1918
9079 | 10 | HOME | frame_1919
9090 | 14 | HOME | frame_1927
9103 | 6 | HOME | frame_1931
9107 | 7 | HOME | frame_1934
9125 | 10 | HOME | frame_1947
9143 | 7 | AWAY | frame_1957
9158 | 91 | HOME | frame_1961
9160 | 6 | AWAY | frame_1963
9163 | 22 | HOME | frame_1966
9183 | 22 | HOME | frame_1974
9188 | 20 | AWAY | frame_1974
9192 | 11 | AWAY | frame_1975
9195 | 78 | AWAY | frame_1976
9198 | 78 | AWAY | frame_1977
9216 | 3 | AWAY | frame_1981
9219 | 78 | AWAY | frame_1982
9220 | 86 | AWAY | frame_1982
9224 | 1 | HOME | frame_1983
9228 | 1 | AWAY | frame_1985
9229 | 6 | AWAY | frame_1985
9234 | 13 | HOME | frame_1987
9244 | 9 | AWAY | frame_1989
9256 | 23 | HOME | frame_1991
9257 | 31 | AWAY | frame_1991
9258 | 71 | HOME | frame_1992
9262 | 3 | AWAY | frame_1994
9263 | 37 | HOME | frame_1994
9271 | 17 | HOME | frame_1998
9279 | 11 | AWAY | frame_2001
9299 | 30 | AWAY | frame_2008
9318 | 6 | AWAY | frame_2011
9326 | 57 | HOME | frame_2013
9337 | 9 | HOME | frame_2014
9344 | 2 | HOME | frame_2015
9358 | 12 | HOME | frame_2017
9388 | 27 | AWAY | frame_2022
9411 | 5 | AWAY | frame_2025
9432 | 71 | AWAY | frame_2029
9449 | 25 | HOME | frame_2031
9457 | 71 | AWAY | frame_2033
9466 | 1 | AWAY | frame_2034
9474 | 71 | AWAY | frame_2036
9492 | 9 | AWAY | frame_2039
9504 | 23 | HOME | frame_2041
9539 | 88 | HOME | frame_2046
9548 | 1 | AWAY | frame_2048
9578 | 9 | HOME | frame_2051
9592 | 9 | HOME | frame_2053
9595 | 01 | AWAY | frame_2054
9600 | 7 | HOME | frame_2054
9610 | 1 | HOME | frame_2055
9617 | 23 | HOME | frame_2056
9630 | 9 | HOME | frame_2057
9641 | 5 | AWAY | frame_2059
9654 | 19 | AWAY | frame_2061
9668 | 71 | AWAY | frame_2063
9670 | 4 | HOME | frame_2063
9736 | 25 | HOME | frame_2073
9753 | 3 | AWAY | frame_2075
9762 | 29 | HOME | frame_2077
9818 | 73 | AWAY | frame_2083
9828 | 5 | HOME | frame_2084
9832 | 19 | AWAY | frame_2084
9922 | 3 | AWAY | frame_2102
9926 | 25 | HOME | frame_2103
9933 | 97 | HOME | frame_2104
9934 | 9 | AWAY | frame_2105
9940 | 10 | AWAY | frame_2106
9942 | 19 | AWAY | frame_2107
9947 | 8 | AWAY | frame_2108
9950 | 9 | AWAY | frame_2109
9963 | 3 | AWAY | frame_2113
9965 | 13 | AWAY | frame_2113
9978 | 11 | HOME | frame_2117
9981 | 15 | AWAY | frame_2117
10002 | 68 | AWAY | frame_2121
10005 | 1 | HOME | frame_2121
10007 | 4 | AWAY | frame_2121
10016 | 8 | HOME | frame_2124
10029 | 37 | AWAY | frame_2126
10034 | 8 | AWAY | frame_2126
10037 | 9 | HOME | frame_2127
10038 | 23 | AWAY | frame_2127
10039 | 3 | AWAY | frame_2127
10040 | 4 | AWAY | frame_2127
10045 | 51 | HOME | frame_2128
10046 | 1 | AWAY | frame_2128
10048 | 20 | AWAY | frame_2129
10060 | 7 | AWAY | frame_2131
10065 | 7 | AWAY | frame_2133
